created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2023-11-29T13:45:27+00:00,76,1993,1666,1708,1572,1008,46.50,27.30,,,,
2023-11-29T14:27:07+00:00,77,1991,1662,1702,1565,1018,47.30,27.40,,,,
2023-11-29T15:08:46+00:00,78,1995,1670,1709,1566,1013,47.50,27.40,,,,
2023-11-29T15:50:27+00:00,79,2003,1679,1716,1574,1038,48.80,27.30,,,,
2023-11-29T16:32:08+00:00,80,1991,1667,1703,1566,1013,48.80,27.30,,,,
2023-11-29T17:13:46+00:00,81,1983,1651,1682,1559,1005,48.00,27.20,,,,
2023-11-29T17:55:27+00:00,82,1989,1657,1687,1571,1023,48.40,27.20,,,,
2023-11-29T18:37:08+00:00,83,1974,1644,1668,1535,1013,48.50,27.20,,,,
2023-11-29T19:18:47+00:00,84,1956,1625,1644,1535,1008,48.40,27.20,,,,
2023-11-29T20:00:27+00:00,85,1961,1626,1645,1555,1008,47.60,27.00,,,,
2023-11-29T20:42:06+00:00,86,1945,1602,1618,1535,993,48.30,27.00,,,,
2023-11-29T21:23:48+00:00,87,1939,1599,1604,1535,1007,47.50,27.00,,,,
2023-11-29T22:05:27+00:00,88,1946,1602,1611,1535,1008,47.60,26.90,,,,
2023-11-29T22:47:06+00:00,89,1940,1602,1611,1531,1010,47.20,27.00,,,,
2023-11-29T23:28:47+00:00,90,1932,1591,1594,1532,1008,48.60,26.90,,,,
2023-11-30T00:10:29+00:00,91,1938,1582,1571,1570,1205,48.20,26.70,,,,
2023-11-30T00:52:07+00:00,92,1956,1632,1634,1566,1296,51.70,26.80,,,,
2023-11-30T01:33:48+00:00,93,1961,1634,1656,1559,1344,51.40,27.20,,,,
2023-11-30T02:15:28+00:00,94,1974,1658,1680,1571,1391,51.80,26.90,,,,
2023-11-30T02:57:06+00:00,95,1994,1670,1698,1584,1424,51.30,27.30,,,,
2023-11-30T03:38:47+00:00,96,1993,1675,1699,1594,1424,49.90,27.50,,,,
2023-11-30T04:20:27+00:00,97,2005,1701,1723,1600,1439,48.30,28.10,,,,
2023-11-30T05:02:06+00:00,98,1954,1616,1618,1564,1419,48.00,28.70,,,,
2023-11-30T05:43:48+00:00,99,1969,1662,1679,1584,1386,45.60,28.30,,,,
2023-11-30T06:25:27+00:00,100,1955,1639,1657,1587,1346,48.30,27.70,,,,
2023-11-30T07:07:06+00:00,101,1965,1648,1674,1580,1323,48.10,27.20,,,,
2023-11-30T07:48:46+00:00,102,1954,1641,1665,1576,1279,49.00,27.00,,,,
2023-11-30T08:30:28+00:00,103,1965,1654,1680,1568,1260,47.90,26.90,,,,
2023-11-30T09:12:07+00:00,104,1945,1617,1637,1572,1226,48.50,26.70,,,,
2023-11-30T09:53:47+00:00,105,1942,1613,1624,1559,1229,49.20,26.70,,,,
2023-11-30T10:35:26+00:00,106,2096,1814,1940,1561,1206,48.50,26.30,,,,
2023-11-30T11:17:10+00:00,107,1983,1664,1709,1570,1232,48.10,25.80,,,,
2023-11-30T11:58:48+00:00,108,1967,1634,1664,1567,1235,50.00,26.20,,,,
2023-11-30T12:40:27+00:00,109,2014,1700,1751,1570,1201,50.40,26.00,,,,
2023-11-30T13:22:06+00:00,110,1980,1653,1692,1552,1158,48.50,26.50,,,,
2023-11-30T14:03:50+00:00,111,1968,1635,1669,1535,1136,47.90,26.00,,,,
2023-11-30T15:27:07+00:00,112,1953,1621,1645,1529,1104,48.00,25.80,,,,
2023-11-30T16:08:47+00:00,113,1950,1616,1638,1519,1095,46.80,25.70,,,,
2023-11-30T16:50:35+00:00,114,1955,1619,1638,1535,1104,47.10,25.60,,,,
2023-11-30T17:32:07+00:00,115,1949,1615,1630,1533,1088,48.70,25.60,,,,
2023-11-30T18:13:47+00:00,116,1937,1598,1611,1535,1082,49.20,25.60,,,,
2023-11-30T18:55:27+00:00,117,1914,1574,1583,1519,1072,48.80,25.60,,,,
2023-11-30T19:37:07+00:00,118,1934,1590,1595,1554,1075,47.90,25.60,,,,
2023-11-30T20:18:47+00:00,119,1927,1583,1583,1543,1058,49.70,25.60,,,,
2023-11-30T21:00:27+00:00,120,1926,1580,1573,1555,1055,50.40,25.60,,,,
2023-11-30T21:42:06+00:00,121,1924,1578,1568,1561,1053,50.30,25.60,,,,
2023-11-30T22:23:48+00:00,122,1924,1578,1572,1556,1055,50.30,25.70,,,,
2023-11-30T23:05:27+00:00,123,1914,1565,1554,1535,1056,51.00,25.80,,,,
2023-11-30T23:47:07+00:00,124,1906,1558,1533,1556,1066,50.20,25.60,,,,
2023-12-01T00:28:50+00:00,125,1895,1522,1496,1554,1151,52.80,25.60,,,,
2023-12-01T01:52:10+00:00,126,1907,1578,1619,1571,1535,53.60,25.30,,,,
2023-12-01T02:34:11+00:00,127,1923,1673,1899,1649,1518,49.50,25.80,,,,
2023-12-01T03:57:10+00:00,128,1933,1618,1684,1639,1583,56.10,26.40,,,,
2023-12-01T04:38:48+00:00,129,1919,1600,1681,1630,1613,52.30,26.80,,,,
2023-12-01T05:20:26+00:00,130,1890,1579,1687,1582,1499,51.60,26.20,,,,
2023-12-01T06:02:06+00:00,131,1903,1598,1700,1584,1469,49.10,24.90,,,,
2023-12-01T06:43:48+00:00,132,1911,1606,1724,1606,1439,46.40,25.40,,,,
2023-12-01T07:25:26+00:00,133,1904,1587,1679,1578,1395,46.50,25.80,,,,
2023-12-01T08:48:49+00:00,134,1908,1582,1630,1597,1380,48.20,26.20,,,,
2023-12-01T09:30:26+00:00,135,1915,1580,1616,1588,1329,48.20,26.10,,,,
2023-12-01T10:12:08+00:00,136,1911,1578,1615,1582,1290,49.20,26.20,,,,
2023-12-01T10:53:47+00:00,137,1921,1584,1616,1569,1262,50.20,25.50,,,,
2023-12-01T11:35:28+00:00,138,1929,1591,1632,1565,1263,50.50,25.20,,,,
2023-12-01T12:17:06+00:00,139,1932,1612,1665,1558,1209,50.90,24.90,,,,
2023-12-01T12:58:48+00:00,140,1923,1599,1656,1539,1168,46.70,25.80,,,,
2023-12-01T13:40:28+00:00,141,1929,1593,1638,1563,1152,46.90,25.70,,,,
2023-12-01T14:22:08+00:00,142,1921,1589,1636,1558,1118,49.70,25.30,,,,
2023-12-01T15:03:47+00:00,143,1919,1583,1624,1559,1105,48.80,25.40,,,,
2023-12-01T15:45:29+00:00,144,1913,1576,1614,1571,1085,49.00,25.40,,,,
2023-12-01T16:27:06+00:00,145,1921,1583,1613,1583,1077,48.90,25.30,,,,
2023-12-01T17:08:46+00:00,146,1914,1571,1603,1577,1070,51.60,25.30,,,,
2023-12-01T17:50:28+00:00,147,1919,1575,1603,1585,1068,50.40,25.50,,,,
2023-12-01T18:32:07+00:00,148,1910,1569,1598,1586,1042,51.90,25.50,,,,
2023-12-01T19:13:47+00:00,149,1917,1576,1601,1590,1040,51.40,25.40,,,,
2023-12-01T19:55:26+00:00,150,1903,1560,1586,1581,1023,52.40,25.60,,,,
2023-12-01T20:37:07+00:00,151,1902,1555,1582,1589,1020,51.10,25.40,,,,
2023-12-01T21:18:48+00:00,152,1891,1535,1569,1579,1021,52.20,25.40,,,,
2023-12-01T22:00:27+00:00,153,1903,1555,1576,1585,1038,52.80,25.50,,,,
2023-12-01T22:42:09+00:00,154,1895,1535,1559,1575,1019,52.50,25.50,,,,
2023-12-01T23:23:49+00:00,155,1911,1562,1570,1587,1013,53.10,25.30,,,,
2023-12-02T00:05:26+00:00,156,1897,1535,1552,1580,1038,53.20,25.50,,,,
2023-12-02T00:47:07+00:00,157,1890,1534,1539,1582,1011,52.50,25.50,,,,
2023-12-02T01:28:47+00:00,158,1900,1543,1554,1583,1015,52.30,25.50,,,,
2023-12-02T02:10:27+00:00,159,1895,1535,1560,1573,1019,53.00,25.50,,,,
2023-12-02T02:52:07+00:00,160,1900,1543,1566,1576,1008,52.10,25.60,,,,
2023-12-02T03:33:47+00:00,161,1894,1548,1566,1571,1013,51.50,25.60,,,,
2023-12-02T04:15:29+00:00,162,1898,1535,1560,1569,1006,50.40,25.60,,,,
2023-12-02T04:57:08+00:00,163,1893,1535,1560,1569,990,49.30,25.80,,,,
2023-12-02T05:38:47+00:00,164,1901,1555,1569,1571,976,49.30,25.80,,,,
2023-12-02T06:20:27+00:00,165,1880,1535,1535,1535,976,49.80,26.00,,,,
2023-12-02T07:02:07+00:00,166,1890,1535,1539,1548,961,46.50,25.80,,,,
2023-12-02T07:43:47+00:00,167,1873,1523,1527,1520,951,48.30,25.90,,,,
2023-12-02T08:25:26+00:00,168,1872,1520,1522,1535,931,46.70,25.60,,,,
2023-12-02T09:07:07+00:00,169,1870,1509,1516,1521,928,46.50,25.80,,,,
2023-12-02T09:48:48+00:00,170,1877,1522,1528,1530,931,46.40,25.40,,,,
2023-12-02T10:30:26+00:00,171,1873,1519,1520,1513,916,48.20,25.50,,,,
2023-12-02T11:12:08+00:00,172,1869,1505,1512,1506,929,47.00,25.30,,,,
2023-12-02T11:53:47+00:00,173,1891,1532,1535,1529,919,47.30,25.00,,,,
2023-12-02T12:35:31+00:00,174,1891,1532,1535,1522,913,48.30,25.40,,,,
2023-12-02T13:17:08+00:00,175,1887,1525,1532,1520,907,49.10,25.30,,,,
2023-12-02T13:58:47+00:00,176,1889,1530,1534,1525,910,48.70,25.30,,,,
2023-12-02T14:40:28+00:00,177,1885,1524,1521,1520,902,49.10,25.30,,,,
2023-12-02T15:22:07+00:00,178,1902,1535,1535,1535,905,51.20,25.20,,,,
2023-12-02T16:03:48+00:00,179,1896,1535,1534,1532,904,51.10,25.40,,,,
2023-12-02T16:45:27+00:00,180,1905,1548,1535,1530,910,50.40,25.30,,,,
2023-12-02T17:27:06+00:00,181,1898,1534,1531,1535,911,51.70,25.40,,,,
2023-12-02T18:08:47+00:00,182,1893,1533,1524,1534,905,51.40,25.30,,,,
2023-12-02T18:50:29+00:00,183,1898,1535,1535,1535,906,51.90,25.20,,,,
2023-12-02T19:32:07+00:00,184,1894,1533,1527,1530,906,52.00,25.30,,,,
2023-12-02T20:13:47+00:00,185,1894,1535,1531,1535,909,51.60,25.20,,,,
2023-12-02T20:55:26+00:00,186,1887,1531,1523,1533,901,52.00,25.20,,,,
2023-12-02T21:37:07+00:00,187,1878,1520,1518,1521,912,50.90,25.20,,,,
2023-12-02T22:18:46+00:00,188,1892,1534,1530,1534,912,50.80,25.20,,,,
2023-12-02T23:00:27+00:00,189,1904,1544,1535,1526,917,52.10,25.30,,,,
2023-12-02T23:42:07+00:00,190,1871,1515,1502,1516,914,51.80,25.30,,,,
2023-12-03T00:23:48+00:00,191,1882,1524,1515,1528,926,49.80,25.00,,,,
2023-12-03T01:05:27+00:00,192,1874,1516,1507,1518,915,51.60,25.10,,,,
2023-12-03T01:47:07+00:00,193,1882,1521,1517,1520,921,50.40,25.10,,,,
2023-12-03T02:28:48+00:00,194,1872,1511,1504,1505,922,50.40,25.20,,,,
2023-12-03T03:10:28+00:00,195,1887,1534,1528,1519,944,49.30,25.00,,,,
2023-12-03T03:52:06+00:00,196,1889,1535,1534,1518,939,49.80,25.30,,,,
2023-12-03T04:33:56+00:00,197,1876,1522,1520,1518,933,49.60,25.30,,,,
2023-12-03T05:15:27+00:00,198,1885,1527,1520,1519,935,48.30,25.30,,,,
2023-12-03T05:57:13+00:00,199,1891,1535,1530,1517,928,47.80,25.60,,,,
2023-12-03T06:38:47+00:00,200,1879,1531,1522,1505,923,48.00,25.50,,,,
2023-12-03T07:20:29+00:00,201,1872,1515,1507,1493,915,47.70,25.30,,,,
2023-12-03T08:02:06+00:00,202,1871,1515,1505,1494,902,47.30,25.00,,,,
2023-12-03T08:43:47+00:00,203,1872,1516,1510,1477,906,47.60,25.00,,,,
2023-12-03T09:25:28+00:00,204,1868,1509,1503,1483,901,47.50,25.00,,,,
2023-12-03T10:07:07+00:00,205,1877,1521,1518,1500,900,47.70,24.80,,,,
2023-12-03T10:48:47+00:00,206,1882,1524,1521,1510,902,48.30,25.20,,,,
2023-12-03T11:30:27+00:00,207,1880,1529,1519,1497,895,49.20,25.20,,,,
2023-12-03T12:12:07+00:00,208,1885,1528,1523,1517,888,48.60,25.10,,,,
2023-12-03T12:53:53+00:00,209,1888,1535,1532,1520,889,48.30,25.30,,,,
2023-12-03T13:35:31+00:00,210,1874,1520,1513,1505,878,49.80,25.20,,,,
2023-12-03T14:17:06+00:00,211,1863,1506,1499,1488,879,48.50,25.20,,,,
2023-12-03T14:58:47+00:00,212,1894,1535,1533,1521,880,47.30,25.10,,,,
2023-12-03T15:40:30+00:00,213,1895,1535,1534,1534,890,51.50,25.20,,,,
2023-12-03T16:22:07+00:00,214,1901,1553,1535,1524,883,50.70,25.30,,,,
2023-12-03T17:03:47+00:00,215,1903,1556,1552,1526,889,50.90,25.40,,,,
2023-12-03T17:45:27+00:00,216,1904,1559,1548,1535,880,51.40,25.40,,,,
2023-12-03T18:27:07+00:00,217,1905,1565,1554,1535,894,52.00,25.40,,,,
2023-12-03T19:09:15+00:00,218,1908,1567,1560,1535,894,52.30,25.50,,,,
2023-12-03T19:50:27+00:00,219,1904,1559,1548,1535,904,52.40,25.40,,,,
2023-12-03T20:32:07+00:00,220,1903,1559,1553,1535,910,52.40,25.40,,,,
2023-12-03T21:13:47+00:00,221,1902,1561,1539,1531,912,52.40,25.40,,,,
2023-12-03T21:55:28+00:00,222,1898,1549,1534,1533,912,52.90,25.40,,,,
2023-12-03T22:37:09+00:00,223,1904,1562,1535,1535,923,52.30,25.50,,,,
2023-12-03T23:18:47+00:00,224,1903,1562,1535,1535,919,53.30,25.50,,,,
2023-12-04T00:00:27+00:00,225,1858,1491,1482,1505,903,53.50,25.50,,,,
2023-12-04T00:42:07+00:00,226,1907,1563,1557,1535,1058,59.50,23.20,,,,
2023-12-04T01:23:46+00:00,227,1926,1590,1587,1566,1137,58.40,24.20,,,,
2023-12-04T02:05:26+00:00,228,1936,1606,1603,1566,1207,55.40,25.60,,,,
2023-12-04T02:47:07+00:00,229,1939,1611,1616,1572,1269,54.50,26.00,,,,
2023-12-04T03:28:46+00:00,230,1935,1606,1606,1564,1323,55.30,26.20,,,,
2023-12-04T04:10:28+00:00,231,2261,1731,1712,1586,1355,53.10,26.40,,,,
2023-12-04T04:52:06+00:00,232,2185,1691,1670,1578,1442,53.80,26.40,,,,
2023-12-04T05:33:47+00:00,233,2079,1655,1633,1570,1392,53.10,26.50,,,,
2023-12-04T06:15:28+00:00,234,2113,1663,1637,1567,1402,52.60,26.60,,,,
2023-12-04T06:57:08+00:00,235,2269,1961,1804,1582,1402,53.20,26.50,,,,
2023-12-04T08:20:27+00:00,236,2389,1816,1776,1575,1333,53.60,26.20,,,,
2023-12-04T09:02:07+00:00,237,2465,1852,1803,1578,1327,54.00,26.20,,,,
2023-12-04T09:43:48+00:00,238,2184,1736,1709,1563,1315,53.70,26.00,,,,
2023-12-04T10:25:28+00:00,239,2150,1730,1712,1568,1313,54.30,26.00,,,,
2023-12-04T11:07:07+00:00,240,2097,1713,1706,1559,1328,54.40,26.10,,,,
2023-12-04T11:48:51+00:00,241,2011,1686,1699,1577,1309,54.50,26.00,,,,
2023-12-04T12:30:28+00:00,242,2122,1715,1706,1560,1244,55.30,26.50,,,,
2023-12-04T13:12:08+00:00,243,2092,1704,1694,1533,1200,51.30,26.20,,,,
2023-12-04T13:53:47+00:00,244,2134,1723,1712,1511,1170,49.90,25.90,,,,
2023-12-04T14:35:27+00:00,245,2104,1712,1708,1534,1152,50.90,25.70,,,,
2023-12-04T15:17:07+00:00,246,2136,1736,1734,1535,1143,50.70,25.60,,,,
2023-12-04T15:58:47+00:00,247,2136,1737,1733,1553,1129,52.20,25.60,,,,
2023-12-04T16:40:28+00:00,248,2089,1711,1710,1535,1121,52.80,25.60,,,,
2023-12-04T17:22:07+00:00,249,2102,1711,1709,1539,1114,52.70,25.60,,,,
2023-12-04T18:03:47+00:00,250,2081,1684,1676,1535,1075,52.20,25.80,,,,
2023-12-04T18:45:27+00:00,251,2032,1649,1643,1534,1070,52.90,25.80,,,,
2023-12-04T19:27:07+00:00,252,2020,1635,1615,1522,1044,51.50,25.50,,,,
2023-12-04T20:08:47+00:00,253,2033,1647,1618,1529,1046,50.50,25.30,,,,
2023-12-04T20:50:28+00:00,254,1999,1612,1583,1518,1008,52.90,25.50,,,,
2023-12-04T21:32:07+00:00,255,1983,1588,1549,1501,1009,51.20,25.40,,,,
2023-12-04T22:13:47+00:00,256,1979,1597,1559,1520,980,51.40,25.00,,,,
2023-12-04T22:55:27+00:00,257,1957,1581,1535,1510,972,52.10,25.40,,,,
2023-12-04T23:37:08+00:00,258,1934,1579,1535,1529,986,52.40,25.30,,,,
2023-12-05T00:18:49+00:00,259,1920,1589,1543,1568,1203,52.80,25.50,,,,
2023-12-05T01:00:28+00:00,260,1916,1588,1554,1564,1319,55.20,26.10,,,,
2023-12-05T01:42:06+00:00,261,1899,1586,1566,1554,1327,58.10,25.00,,,,
2023-12-05T02:23:48+00:00,262,1916,1618,1600,1555,1339,53.50,25.80,,,,
2023-12-05T03:05:27+00:00,263,1933,1648,1638,1562,1374,53.30,26.10,,,,
2023-12-05T03:47:07+00:00,264,1919,1622,1619,1539,1375,53.20,26.40,,,,
2023-12-05T04:28:55+00:00,265,1948,1653,1657,1548,1360,52.50,26.30,,,,
2023-12-05T05:10:27+00:00,266,1952,1675,1664,1589,1504,52.80,26.60,,,,
2023-12-05T05:52:09+00:00,267,1968,1702,1701,1616,1585,54.60,27.50,,,,
2023-12-05T06:33:48+00:00,268,1976,1713,1718,1611,1623,53.90,28.30,,,,
2023-12-05T07:15:31+00:00,269,1950,1688,1693,1592,1641,53.40,28.50,,,,
2023-12-05T07:57:07+00:00,270,1955,1692,1690,1601,1615,52.70,28.50,,,,
2023-12-06T06:24:44+00:00,271,1982,1824,1923,1488,2218,51.40,29.50,,,,
2023-12-06T07:05:45+00:00,272,1998,1789,1886,1471,1904,48.00,31.30,,,,
2023-12-06T07:47:25+00:00,273,1981,1743,1812,1459,1732,47.00,31.20,,,,
2023-12-06T08:29:05+00:00,274,1970,1711,1773,1443,1611,47.80,30.30,,,,
2023-12-06T09:10:46+00:00,275,1947,1673,1713,1418,1497,49.10,29.10,,,,
2023-12-06T09:52:27+00:00,276,1919,1628,1656,1398,1424,49.70,28.10,,,,
2023-12-06T10:34:05+00:00,277,1921,1620,1642,1392,1361,50.90,27.00,,,,
2023-12-06T11:15:45+00:00,278,1908,1603,1611,1379,1307,52.00,26.30,,,,
2023-12-06T11:57:26+00:00,279,1904,1588,1589,1382,1279,52.60,25.80,,,,
2023-12-06T12:39:06+00:00,280,1898,1576,1565,1378,1251,53.10,25.60,,,,
2023-12-06T13:20:45+00:00,281,1884,1560,1532,1386,1227,53.00,25.60,,,,
2023-12-06T14:02:25+00:00,282,1874,1535,1514,1375,1202,52.70,25.60,,,,
2023-12-06T14:44:05+00:00,283,1878,1531,1500,1368,1184,52.70,25.40,,,,
2023-12-06T15:25:48+00:00,284,1872,1518,1474,1367,1155,53.20,25.00,,,,
2023-12-06T16:07:25+00:00,285,1858,1499,1456,1349,1136,53.30,24.90,,,,
2023-12-06T17:30:45+00:00,286,1861,1498,1447,1338,1109,50.60,24.80,,,,
2023-12-06T18:12:25+00:00,287,1878,1507,1461,1327,1088,49.70,24.80,,,,
2023-12-06T18:54:07+00:00,288,1868,1489,1437,1325,1067,49.30,24.60,,,,
2023-12-06T19:35:45+00:00,289,1851,1464,1405,1327,1052,49.30,24.40,,,,
2023-12-06T20:17:25+00:00,290,1844,1455,1387,1316,1044,49.60,24.00,,,,
2023-12-06T20:59:05+00:00,291,1839,1444,1372,1304,1014,49.50,24.00,,,,
2023-12-06T21:40:46+00:00,292,1852,1455,1389,1309,993,49.50,23.60,,,,
2023-12-06T22:22:27+00:00,293,1851,1445,1373,1299,976,49.50,23.70,,,,
2023-12-06T23:04:06+00:00,294,1845,1440,1370,1294,963,49.20,23.40,,,,
2023-12-06T23:45:47+00:00,295,1875,1486,1409,1345,962,49.60,23.20,,,,
2023-12-07T00:27:25+00:00,296,1919,1587,1501,1427,977,50.30,24.70,,,,
2023-12-07T01:09:05+00:00,297,1952,1662,1587,1468,999,46.60,28.90,,,,
2023-12-07T01:50:44+00:00,298,2030,1809,1752,1519,1040,43.50,32.10,,,,
2023-12-07T02:32:26+00:00,299,2101,1937,1915,1563,1092,40.60,35.30,,,,
2023-12-07T03:14:07+00:00,300,2161,2035,2045,1577,1121,37.80,38.30,,,,
2023-12-07T03:55:46+00:00,301,2145,2019,2024,1572,1137,36.90,39.30,,,,
2023-12-07T04:37:25+00:00,302,2169,2066,2088,1588,1145,36.20,39.60,,,,
2023-12-07T05:19:05+00:00,303,2144,2023,2031,1571,1147,35.40,40.20,,,,
2023-12-07T06:00:45+00:00,304,2162,2072,2085,1583,1135,35.40,40.00,,,,
